user_id,user_passwd,user_name,user_email,user_tel,user_reg_date,user_point,user_profile_img,user_grade
user001,1234,회원1,test1@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user002,1234,회원2,test2@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user003,1234,회원3,test3@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user004,1234,회원4,test4@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user005,1234,회원5,test5@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user006,1234,회원6,test6@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user007,1234,회원7,test7@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user008,1234,회원8,test8@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user009,1234,회원9,test9@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user010,1234,회원10,test10@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user011,1234,회원11,test11@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user012,1234,회원12,test12@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user013,1234,회원13,test13@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user014,1234,회원14,test14@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user015,1234,회원15,test15@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user016,1234,회원16,test16@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user017,1234,회원17,test17@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user018,1234,회원18,test18@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user019,1234,회원19,test19@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user020,1234,회원20,test20@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user021,1234,회원21,test21@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user022,1234,회원22,test22@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user023,1234,회원23,test23@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user024,1234,회원24,test24@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user025,1234,회원25,test25@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user026,1234,회원26,test26@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user027,1234,회원27,test27@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user028,1234,회원28,test28@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user029,1234,회원29,test29@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user030,1234,회원30,test30@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user031,1234,회원31,test31@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user032,1234,회원32,test32@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user033,1234,회원33,test33@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user034,1234,회원34,test34@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user035,1234,회원35,test35@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,2
user036,1234,회원36,test36@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
user037,1234,회원37,test37@gmail.com,010-0000-1111,2023-08-29 16:25:05,1000000, ,1
